TERM,CRN,SUBJ,NUM,TITLE,UNIT,CRED,INSTR_MODE,DAYS,TIME,DAYS.1,ADDTL_TIM,P,LMT,ENR,INSTRUCTOR
202680,80470,ECON,101.06,Princ of Microeconomics,.50,4,,MWF,1310-1400,,-,,28,,"Kolliner,D,,"
202680,80471,ECON,101.07,Princ of Microeconomics,.50,4,,MWF,1410-1500,,-,,28,,"An,G,,"
202680,80472,ECON,101.08,Princ of Microeconomics,.50,4,,MWF,1510-1600,,-,,28,,"An,G,,"
202680,80473,ECON,102.00,Princ of Macroeconomics,.50,4,,TR,0940-1100,,-,,28,,"Rendell,L,,"
202680,80474,ECON,201.01,Microeconomic Theory,.50,4,,MWF,1110-1200,,-,,28,,"Black,K,,"
202680,80475,ECON,201.02,Microeconomic Theory,.50,4,,MWF,1210-1300,,-,,28,,"Black,K,,"
202680,80476,ECON,205.01,Introduction to Econometrics,.50,4,,MWF,1410-1500,,-,,16,,"Diethorn,H,,"
202680,80477,ECON,205.02,Introduction to Econometrics,.50,4,,MWF,1510-1600,,-,,16,,"Diethorn,H,,"
202680,80478,ECON,337.00,Portfolio Allocation,.50,4,,TR,0810-0930,,-,,25,,"Glandon,P,,"
202680,80479,ECON,338.00,International Trade,.50,4,,MR,1900-2020,,-,,25,,"An,G,,"
202680,80480,ECON,344.00,Labor Economics,.50,4,,MWF,1310-1400,,-,,25,,"Diethorn,H,,"
202680,80570,ECON,365.00,Economics of Education Policy,.50,4,,TR,1310-1430,,-,,25,,"Rendell,L,,"
202680,80482,ECON,437.00,The Economics of Corporations,.50,4,,TR,1310-1430,,-,,8,,"Glandon,P,,"
202680,80483,ECON,471.00,Experimental & Behavioral Econ,.50,4,,TR,1440-1600,,-,,8,,"Corrigan,J,,"
202680,80484,ECON,476.00,Political Economy,.50,4,,WF,0840-1000,,-,,8,,"Kolliner,D,,"
202680,80490,ENGL,103.01,Health and Healing,.50,4,,MWF,1010-1100,,-,,15,,"Fernando,K,,"
202680,80491,ENGL,103.02,Health and Healing,.50,4,,MWF,1410-1500,,-,,15,,"Fernando,K,,"
202680,80492,ENGL,103.03,Assault of Laughter,.50,4,,MWF,0910-1000,,-,,15,,"Grace,A,,"
202680,80493,ENGL,103.04,Making a Life,.50,4,,MWF,1510-1600,,-,,15,,"Heidt,S,,"
202680,80494,ENGL,103.05,Bodily Matters,.50,4,,MWF,1110-1200,,-,,15,,"Lau,T,,"
202680,80495,ENGL,103.06,Seductions,.50,4,,MWF,1410-1500,,-,,15,,"Lobanov-Rostovsky,S,,"
202680,80496,ENGL,103.07,Writing the Mind,.50,4,,MWF,1010-1100,,-,,15,,"Matz,J,,"
202680,80497,ENGL,103.08,Writing the Mind,.50,4,,MWF,1210-1300,,-,,15,,"Matz,J,,"
202680,80498,ENGL,103.09,Writing the Race,.50,4,,MWF,0910-1000,,-,,15,,"Schoenfeld,J,,"
202680,80499,ENGL,103.10,Authorship,.50,4,,MWF,1210-1300,,-,,15,,"Suazo,M,,"
202680,80501,ENGL,103.11,Introduction to Lit & Language,.50,4,,,-,,-,,15,,Dr. Staff
202680,80503,ENGL,201.00,Introduction to Poetry Writing,.50,4,,R,1310-1600,,-,,15,,"Grace,A,,"
202680,80505,ENGL,205.00,Multi-Genre Creative Writing,.50,4,,R,1310-1600,,-,,15,,"Arocho Hernandez,N,,"
202680,80506,ENGL,206.00,Intro Science & Nature Writing,.50,4,,T,1310-1600,,-,,15,,"Warren,H,,"
202680,80507,ENGL,207.00,Asian American Poetry,.50,4,,M,1310-1600,,-,,20,,"Leong,M,,"
202680,80508,ENGL,217.00,Writing Center Colloquium,.25,2,,MW,1310-1400,,-,PI,20,,"Scanlon,A,,"
202680,80509,ENGL,251.00,Studies in British Romanticism,.50,4,,WF,1410-1530,,-,,20,,"Lau,T,,"
202680,80510,ENGL,266.00,Decolonization and Violence,.50,4,,TR,0940-1100,,-,,20,,"Fernando,K,,"
202680,80511,ENGL,300.01,Intermediate Fiction Writing,.50,4,,TR,0940-1100,,-,PI,12,,"Parssinen,K,,"
202680,80513,ENGL,301.00,Intermediate Poetry Writing,.50,4,,T,1310-1600,,-,PI,12,,"Leong,M,,"
202680,80514,ENGL,320.00,Shakespeare,.50,4,,TR,1440-1600,,-,,20,,"Davidson,A,,"
202680,80515,ENGL,336.00,17th-Century Poetry,.50,4,,MWF,1010-1100,,-,,20,,"Lobanov-Rostovsky,S,,"
202680,80581,ENGL,358.00,Victorian Ghosts,.50,4,,MWF,1310-1400,,-,,20,,"Lau,T,,"
202680,80516,ENGL,375.00,U.S. Fiction in 19th-cent.,.50,4,,MWF,1510-1600,,-,,20,,"Suazo,M,,"
202680,80517,ENGL,385.00,Contemporary American Poetry,.50,4,,MWF,1110-1200,,-,,20,,"Grace,A,,"
202680,80518,ENGL,386.00,Toni Morrison,.50,4,,WF,1410-1530,,-,,20,,"Schoenfeld,J,,"
202680,80656,ENGL,391.02,ST: Flash Prose Studio,.50,4,,M,1310-1600,,-,PI,12,,"Parssinen,K,,"
202680,80520,ENGL,404.00,Advanced Prose,.50,4,,TR,1310-1430,,-,PI,15,,"Parssinen,K,,"
202680,80521,ENGL,491.01,ST: Premodern Sexualities,.50,4,,TR,0940-1100,,-,PI,15,,"O'Neill,R,,"
202680,80522,ENGL,491.02,ST: Genres of the Contemporary,.50,4,,T,1900-2200,,-,PI,15,,"Murthy,P,,"
202680,80059,ENGL,497.00,Senior Honors,.50,4,,TR,1310-1430,,-,GP,15,,"Suazo,M,,"
202680,80525,ENVS,112.01,Intro to Environmental Studies,.50,4,,MWF,0910-1000,,-,,35,,"Shakya,K,,"
202680,80539,ENVS,112.02,Intro to Environmental Studies,.50,4,,MWF,1010-1100,,-,,35,,Dr. Staff
202680,80540,ENVS,210.00,Intro Environmental Lab,.25,2,,T,1310-1600,,-,,12,,"Schmitt,L,,"
202680,80541,ENVS,220.00,Applied Environmental Analysis,.50,4,,WF,1410-1530,,-,,16,,"Shakya,K,,"
202680,80542,ENVS,253.00,Sustainable Agriculture,.50,4,,M,1310-1600,,-,PI,10,,"Schmitt,L,,"
