term,crn,subject,course_number,title,unit_value,credits,instruction_mode,days,start_time,end_time,additional_days,additional_time,seats_available,instructor
202680,80048,INDS,209.00,Sci & Nature Fiction Writing,0.5,4.0,,WF,14:10,15:30,,,15,Slonczewski J
202680,80047,INDS,231.00,The Holocaust,0.5,4.0,,TR,13:10,14:30,,,15,Ablovatski E Riegert L
202680,80487,INST,201.00,Expansion of Intern'l Society,0.5,4.0,,TR,09:40,11:00,,,20,Singer W
202680,80488,INST,401.01,Sr Sem International Studies,0.5,4.0,,R,19:00,22:00,,,12,Rowe D
202680,80489,INST,401.02,Sr Sem International Studies,0.5,4.0,,W,19:00,22:00,,,12,Villegas C
202680,80062,INST,497Y.00,Senior Honors,0.5,4.0,,,,,,,5,McAllister J
202680,80650,IPHS,111Y.00,Odyssey:Wisdom & Understanding,0.5,4.0,,MWF,12:10,13:00,,,30,Novikoff A Leibowitz L
202680,80651,IPHS,200.01,Programming Humanity,0.5,4.0,,TR,09:40,11:00,,,15,Elkins K
202680,80652,IPHS,200.02,Programming Humanity,0.5,4.0,,TR,13:10,14:30,,,15,Elkins K
202680,80653,IPHS,400.00,Frontiers in Generative AI,0.5,4.0,,TR,14:40,16:00,,,12,Chun J
202680,80654,IPHS,484.00,Senior Research Seminar,0.5,4.0,,,,,,,10,Elkins K
202680,80050,ITAL,111Y.00,Intensive Intro Italian,0.75,6.0,,MWF,14:10,15:00,T,,20,Dubrovic S
